"","x"
"1441",13.982
"1442",14.4519
"1443",13.7903
"1444",13.8016
"1445",14.2712
"1446",13.9021
"1447",13.8247
"1448",13.853
"1449",12.6771
"1450",12.7503
"1451",13.2855
"1452",12.2094
"1453",11.8479
"1454",11.8715
"1455",11.4259
"1456",11.5119
"1457",11.4588
"1458",11.6542
"1459",12.425
"1460",12.1712
"1461",12.2664
"1462",12.3771
"1463",12.6838
"1464",12.7873
"1465",12.8467
"1466",12.7396
"1467",14.0145
"1468",13.865
"1469",13.1272
"1470",13.1458
"1471",12.8444
"1472",12.6691
"1473",12.1375
"1474",12.0795
"1475",11.4289
"1476",12.9367
"1477",13.8158
"1478",13.0395
"1479",10.7089
"1480",10.5654
"1481",10.5068
"1482",10.6823
"1483",10.5981
"1484",11.2502
"1485",11.386
"1486",11.6485
"1487",11.476
"1488",11.2765
"1489",11.5766
"1490",11.9319
"1491",12.693
"1492",12.643
"1493",12.0936
"1494",11.7554
"1495",11.9762
"1496",11.8911
"1497",12.1643
"1498",12.0748
"1499",11.7627
"1500",11.7735
"1501",12.0943
"1502",12.9335
"1503",12.8902
"1504",12.6662
"1505",12.3084
"1506",11.9657
"1507",11.4586
"1508",12.1138
"1509",11.5609
"1510",11.8357
"1511",12.1971
"1512",11.9505
"1513",11.9998
"1514",12.0352
"1515",12.3354
"1516",12.3677
"1517",12.1465
"1518",12.4254
"1519",12.5358
"1520",12.8365
"1521",13.0418
"1522",12.8378
"1523",13.3936
"1524",13.0567
"1525",12.6297
"1526",11.5492
"1527",12.1896
"1528",12.125
"1529",11.7716
"1530",11.7597
"1531",11.2556
"1532",11.3196
"1533",11.4009
"1534",11.8282
"1535",11.8514
"1536",12.1657
"1537",12.0805
"1538",12.1298
"1539",11.7771
"1540",11.4054
"1541",11.3891
"1542",11.6046
"1543",12.0548
"1544",12.8734
"1545",12.1512
"1546",12.1071
"1547",11.9063
"1548",12.4326
"1549",12.8003
"1550",11.9202
"1551",11.5159
"1552",11.8221
"1553",12.1031
"1554",12.2494
"1555",12.1844
"1556",12.2724
"1557",12.1756
"1558",12.0136
"1559",12.079
"1560",12.4659
"1561",12.4156
"1562",12.9201
"1563",12.9379
"1564",11.739
"1565",12.3152
"1566",11.6647
"1567",11.6072
"1568",11.5669
"1569",11.4131
"1570",11.4161
"1571",11.5347
"1572",11.302
"1573",11.995
"1574",12.0599
"1575",12.4175
"1576",12.0686
"1577",12.4458
